key|message|comments*
*Comments are ignored by the plugin
no-permission|Non hai i permessi per fare questo!
no-permission-join|Non hai i permessi per entrare nel game!
no-permission-quit|Non hai i permessi per uscire dal game!
no-permission-import|Non hai i permessi per importare la mappa!
usage-1|Usage: /ttt [comando]
usage-join|Usage: /ttt join [nome world]
usage-import|Usage: /ttt import [nome world]
invalid-args-1|Troppi argomenti! Scrivi /ttt help per i comandi
invalid-args-2|Argomento invalido! Scrivi /ttt help per i comandi
not-in-game|Non sei ingame!
must-be-ingame|Per eseguire questo comando devi essere ingame!
in-progress|Non puoi entrare in un game gia in progresso!
waiting|Aspettando per altri players...
map-invalid|Error: La mappa specificata non esiste o non e' stata importata!
round-starting|Il game sta iniziando!
no-kits|Non puoi usare i kits mentre sei ingame!
creator|creatore di Trouble in Terrorist Town
alpha-tester|alpha tester di Trouble in Terrorist Town
tester|tester di Trouble in Terrorist Town
translator|traduttore di Trouble in Terrorist Town
success-join|Sei entrato nel mondo!
metrics-fail|Impossibile inviare statistiche a MCstats!
enabled|e' stata attivata!
disabled|e' stata disattivata!
import-success|Importazione del mondo avvenuta con successo!
folder-error|E' stato rilevato un errore durante la creazione di una nuova cartella del mondo.
already-imported|Questo mondo e' gia stato importato!
cannot-load-world|Il mondo specificato non puo essere importato: invalido o corrotto.
start-error|Il nome del mondo deve iniziare con "TTT_"!
folder-not-found|Impossibile trovare la cartella specificata! Assicurati che la cartella si trovi nella root del server, e riprova.
inv-save-error|Impossibile salvare inventario!
dead|Sei morto! Gli altri non ti possono vedere e puoi usare liberamente la fly!.
id|ID
body-of|Questo e' il corpo di
innocent|Innocente
traitor|Traditore
detective|Detective
innocent-id|Questa persona era un innocente.
traitor-id|Questa persona era un traditore!
detective-id|Questa persona era un detective.
joined-map|e' entrato nella mappa
left-map|e' uscito dalla mappa
begin|Il gioco avra' inizio in %
seconds|secondi
minutes|minuti
you-are-innocent|Sei un innocente! Pero' attenzione, ci sono traditori tra di voi, pronti a uccidervi tutti.
you-are-traitor|Sei un traditore! Il tuo lavoro e' uccidere tutti gli altri innocenti. Pero' attenzione, siete in svantaggio numerico. Dovete usare il cervello e l agilita' per ucciderli tutti.
allies|Traditori, questi sono i tuoi alleati:
alone|Traditore, sei da solo.
begun|Il gioco ha inizio!
traitor-win|I Traditori hanno vinto la mappa %
innocent-win|Gli innocenti hanno vinto la mappa %
inv-load-error|Impossibile caricare gli inventari salvati!
left|alla fine del round!
rollback|RollBack del mondo avvenuto con successo!
found-body|Trovato il corpo di %
was-innocent|Lui era un innocente.
was-traitor|Lui era un traditore!
was-detective|Lui era un detective.
need-ammo|Hai bisogno di munizioni!
discreet|Cerca i cadaveri con discrezione
no-drop|Non puoi droppare oggetti ingame!
you-are-detective|Sei un detective! Sei equipaggiato con uno Scanner di DNA con cui analizzare i cadaveri e trovare tutti i traditori. Usa questo oggetto a tuo vantaggio per trovare i traditori rimasti!
collected-sample|Preso il DNA di %
crowbar|Piede di Porco
gun|Pistola
dna-scanner|Scanner di DNA
killer-left|L'assassino di questa partita non e' piu' ingame!
